Path,Line Coverage,Function Coverage,Region Coverage
src/curl/lib/altsvc.c,3.38% (14/414),11.11% (2/18),1.40% (5/356)
src/curl/lib/asyn-thread.c,8.39% (27/322),26.09% (6/23),7.81% (15/192)
src/curl/lib/base64.c,44.30% (66/149),40.00% (2/5),33.33% (27/81)
src/curl/lib/bufref.c,0.00% (0/57),0.00% (0/6),0.00% (0/37)
src/curl/lib/conncache.c,68.09% (224/329),90.48% (19/21),61.00% (147/241)
src/curl/lib/connect.c,39.01% (339/869),75.00% (18/24),38.68% (241/623)
src/curl/lib/content_encoding.c,7.82% (32/409),7.41% (2/27),6.67% (20/300)
src/curl/lib/cookie.c,9.39% (93/990),22.22% (6/27),7.72% (78/1011)
src/curl/lib/curl_addrinfo.c,36.13% (86/238),37.50% (3/8),30.83% (37/120)
src/curl/lib/curl_ctype.c,40.00% (20/50),40.00% (4/10),36.46% (35/96)
src/curl/lib/curl_endian.c,0.00% (0/22),0.00% (0/5),0.00% (0/5)
src/curl/lib/curl_fnmatch.c,0.00% (0/16),0.00% (0/1),0.00% (0/13)
src/curl/lib/curl_get_line.c,0.00% (0/20),0.00% (0/1),0.00% (0/18)
src/curl/lib/curl_gethostname.c,0.00% (0/22),0.00% (0/1),0.00% (0/9)
src/curl/lib/curl_memrchr.c,0.00% (0/13),0.00% (0/1),0.00% (0/9)
src/curl/lib/curl_ntlm_core.c,0.00% (0/162),0.00% (0/11),0.00% (0/94)
src/curl/lib/curl_ntlm_wb.c,3.27% (10/306),33.33% (2/6),4.96% (14/282)
src/curl/lib/curl_range.c,0.00% (0/48),0.00% (0/1),0.00% (0/42)
src/curl/lib/curl_sasl.c,0.00% (0/359),0.00% (0/9),0.00% (0/272)
src/curl/lib/curl_threads.c,0.00% (0/35),0.00% (0/4),0.00% (0/26)
src/curl/lib/dict.c,0.00% (0/182),0.00% (0/3),0.00% (0/129)
src/curl/lib/doh.c,0.00% (0/656),0.00% (0/20),0.00% (0/744)
src/curl/lib/dotdot.c,74.12% (63/85),100.00% (1/1),82.14% (46/56)
src/curl/lib/dynbuf.c,87.07% (101/116),90.91% (10/11),86.25% (69/80)
src/curl/lib/easy.c,6.61% (38/575),14.29% (4/28),5.96% (27/453)
src/curl/lib/escape.c,48.41% (61/126),28.57% (2/7),64.78% (103/159)
src/curl/lib/file.c,0.00% (0/258),0.00% (0/6),0.00% (0/196)
src/curl/lib/fileinfo.c,0.00% (0/9),0.00% (0/2),0.00% (0/12)
src/curl/lib/formdata.c,0.00% (0/587),0.00% (0/8),0.00% (0/512)
src/curl/lib/ftp.c,0.00% (0/2602),0.00% (0/64),0.00% (0/2031)
src/curl/lib/ftplistparser.c,0.00% (0/771),0.00% (0/6),0.00% (0/498)
src/curl/lib/getenv.c,100.00% (8/8),100.00% (2/2),60.00% (3/5)
src/curl/lib/getinfo.c,7.55% (37/490),12.50% (1/8),1.81% (4/221)
src/curl/lib/gopher.c,0.00% (0/95),0.00% (0/3),0.00% (0/70)
src/curl/lib/hash.c,84.38% (135/160),100.00% (13/13),84.69% (83/98)
src/curl/lib/hmac.c,0.00% (0/61),0.00% (0/4),0.00% (0/22)
src/curl/lib/hostasyn.c,0.00% (0/29),0.00% (0/2),0.00% (0/15)
src/curl/lib/hostcheck.c,0.00% (0/66),0.00% (0/2),0.00% (0/72)
src/curl/lib/hostip.c,30.98% (149/481),61.90% (13/21),28.28% (82/290)
src/curl/lib/hostip6.c,56.52% (13/23),50.00% (1/2),50.00% (10/20)
src/curl/lib/hsts.c,5.90% (20/339),25.00% (4/16),3.30% (9/273)
src/curl/lib/http.c,24.88% (625/2512),39.13% (18/46),25.10% (580/2311)
src/curl/lib/http2.c,1.12% (18/1612),8.16% (4/49),1.10% (13/1179)
